Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2018,12,Female,17,Right-Handed,167,25,168,2,Rail (Train/Tram/Subway),45,0.545,50,Walking/Hiking,1000,1000,1000,1000,800,900,24,Right foot,90,100,Ring finger,April,Spring,Yes,No,Desserts,Water,Mathematics and statistics,5.5,10,5,Yes - broadband connection,Internet chat or instant messaging,0,1,2,1,70,30,0,0,40,50,70,0,0,1,A lot,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Health
USA,NY,2018,12,Male,17,Ambidextrous,100,13,199,9,Other,250,0.111,19,Martial Arts,0,0,0,0,1000,1000,29,Right foot,140,160,Same length,October,Spring,Yes,Yes,Meat,Powdered drink,Other,2,4,1,Yes - broadband connection,E-mail,125,0,0,0,1,0,0,1,2,0,3,0,0,60,None,Less than high school,Gospel,Fly,Famous,Other,Other
USA,NY,2018,12,Female,17,Right-Handed,166,23,165,3,Rail (Train/Tram/Subway),20,0.67,48,Swimming,700,650,575,600,800,800,23.4,Left foot,94,100,Ring finger,August,Spring,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,5,11,4,Yes - other,Internet chat or instant messaging,50,50,0,0.5,40,9,1,3,4.5,6,77,3.5,0,7,A lot,Graduate degree,Pop,Telepathy,Healthy,Relative,Health
USA,NY,2018,12,Female,16,Right-Handed,154,22,153,2,Rail (Train/Tram/Subway),45,0.362,34,Walking/Hiking,818,642,604,679,503,503,22,Same length,85,90,Ring finger,September,Fall,No,No,Breads/Sandwiches,Water,Physical education,7,8,6,Yes - other,Text messaging,5,5,3,2,7,3,1,3,6,6,3,3,0,5,Some,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Health
USA,NY,2018,9,Male,15,Right-Handed,170,28,178,2,Car,6,,0.739,Tennis,723,926,689,956,989,995,30,Right foot,15,12,Same length,April,Summer,No,No,Meat,Water,History,8,7,3,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",300,1436,4,0.5,5,8,11,6,9,5,12,6,3,4,Some,Other,Rap/Hip hop,Invisibility,Rich,Other,Education/Youth development
USA,NY,2018,9,Female,15,Right-Handed,158,23,150,1,Bus,25,0.464,35,Dancing,1000,1000,1000,1000,1000,1000,23,Same length,7.62,7.62,Same length,May,Summer,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,5,9,5,Yes - other,Text messaging,150,145,4,7,4,12,4,3,4,4,14,0,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,International aid
USA,NY,2018,9,Female,14,Right-Handed,165,23.5,,2,Car,3,0.483,25,Basketball,615,610,690,781,1000,1000,23.5,Same length,,,Same length,,Fall,Yes,No,No favorite,Water,Science,4,9,3,Yes - other,Text messaging,100,110,48,0,4,0,0,3,126,126,126,28,0,2,A lot,Other,Rap/Hip hop,Invisibility,Happy,Other,"Wildlife, animals"
USA,NY,2018,12,Male,16,Left-Handed,175,10,173.5,2,Rail (Train/Tram/Subway),25,0.425,44,Tennis,900,700,600,800,1000,1000,10,Same length,95,9,Index finger,July,Summer,No,No,Fruit,Soft drink (non-caffeinated),Science,5,9,6,Yes - broadband connection,Text messaging,13,7,6,1,14,3,3,14,21,35,35,8,0,2,A lot,Graduate degree,Pop,Freeze time,Rich,Actor,Health
USA,NY,2018,12,Female,17,Right-Handed,158,23,161,1,Rail (Train/Tram/Subway),50,0.469,51,Swimming,850,1000,800,800,600,700,22,Right foot,63,63,Same length,July,Winter,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,6,8,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",10,10,10,2,25,5,2,15,5,5,50,0,0,1,A lot,Graduate degree,Jazz,Freeze time,Rich,Teacher,Environment
USA,NY,2018,12,Female,17,Right-Handed,164,24,163,2,Rail (Train/Tram/Subway),45,0.437,30,Other,1000,845,915,717,1000,1000,24,Same length,90,85,Index finger,June,Spring,No,No,No favorite,Water,Other,8,10,4,Yes - other,Internet chat or instant messaging,20,20,20,10,1,10,18,20,20,24,20,10,0,5,Some,Graduate degree,Other,Freeze time,Happy,Friend,International aid
USA,NY,2018,12,Male,17,Right-Handed,164.1,9.8,171,4,Rail (Train/Tram/Subway),45,0.441,60,Soccer,500,500,900,900,1000,1000,9.8,Same length,95,100,Ring finger,June,Summer,No,No,Poultry,Water,Computers and technology,7,10,4,Yes - broadband connection,Internet chat or instant messaging,20,20,3,1,3,3,3,3,1,1,1,1,0,1,Some,Graduate degree,Pop,Freeze time,Healthy,Relative,Health
USA,NY,2018,12,Female,17,Right-Handed,147,20,146,3,Rail (Train/Tram/Subway),45,0.405,48,Swimming,551,567,631,706,786,909,20,Same length,81,83,Ring finger,November,Winter,Yes,No,Seafood,Water,Mathematics and statistics,7,12,4,Yes - broadband connection,Text messaging,200,300,20,0,2,7,3,0,20,32,10,5,10,3,Some,Graduate degree,Pop,Freeze time,Happy,Relative,Religious
USA,NY,2018,12,Female,18,Right-Handed,155,22,155,1,Rail (Train/Tram/Subway),25,0.395,46,Other,1000,1000,950,950,1000,1000,21,Right foot,86,88,Ring finger,June,Summer,Yes,No,Pizza/Pasta,Water,Social studies,6,8,4,Yes - broadband connection,Text messaging,500,500,20,4,10,5,3,7,50,40,50,50,30,5,Some,Graduate degree,Pop,Fly,Happy,Relative,"Arts, culture, sports"
USA,NY,2018,12,Female,18,Right-Handed,167,24,172,2,Rail (Train/Tram/Subway),40,0.784,49,Dancing,600,650,200,250,950,950,24,Same length,90,100,Ring finger,January,Spring,No,No,Breads/Sandwiches,Water,Music,4,8,5,Yes - broadband connection,In person,30,22,3,1,15,5,15,5,5,2,21,5,0,1,A lot,Graduate degree,Classical,Fly,Happy,Musician or singer,Health
USA,NY,2018,12,Female,18,Right-Handed,150,23,152,2,Bus,30,0.405,31,Swimming,500,750,750,750,250,7500,23,Same length,76,81,Ring finger,January,Summer,Yes,No,Rice/Noodle dishes,Water,Computers and technology,6,9,7,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",45,100,4,1,12,6,3,1,12,6,30,3,0,12,Some,Graduate degree,Pop,Invisibility,Happy,Relative,International aid
